datetime,option_type,strike_relative,iv,oi,strike,spot,open,high,low,close,volume,timestamp
2025-04-17 09:15:00,CE,ATM+3,24.297333,3433800,23550.0,23377.45,26.0,26.0,8.5,10.0,2684325,1744861500
2025-04-17 09:16:00,CE,ATM+3,23.334135,3433800,23550.0,23379.0,9.8,9.8,7.8,8.9,2516550,1744861560
2025-04-17 09:17:00,CE,ATM+3,22.931194,3433800,23550.0,23378.55,8.8,8.95,7.85,8.3,1393800,1744861620
2025-04-17 09:18:00,CE,ATM+3,22.652251,10903650,23500.0,23366.9,12.2,15.3,12.0,13.4,3596250,1744861680
2025-04-17 09:19:00,CE,ATM+3,22.767161,10903650,23500.0,23358.15,12.85,13.25,11.7,12.05,3086100,1744861740
2025-04-17 09:20:00,CE,ATM+3,22.913146,10903650,23500.0,23353.6,12.1,12.1,10.95,11.5,2395800,1744861800
2025-04-17 09:21:00,CE,ATM+3,25.192592,11875350,23500.0,23327.0,11.2,12.25,10.75,10.8,2624625,1744861860
2025-04-17 09:22:00,CE,ATM+3,22.333122,7254825,23450.0,23321.35,14.7,16.0,13.25,13.4,3202425,1744861920
2025-04-17 09:23:00,CE,ATM+3,22.985458,7254825,23450.0,23314.6,13.1,13.75,12.55,13.2,1984500,1744861980
2025-04-17 09:24:00,CE,ATM+3,22.289014,7937550,23450.0,23318.05,12.85,13.6,12.45,12.65,1820175,1744862040
2025-04-17 09:25:00,CE,ATM+3,23.822708,12860250,23500.0,23329.9,8.05,9.2,7.9,9.2,2464575,1744862100
2025-04-17 09:26:00,CE,ATM+3,21.940103,7937550,23450.0,23309.55,13.5,13.6,10.65,10.65,1987650,1744862160
2025-04-17 09:27:00,CE,ATM+3,21.504504,8746125,23450.0,23321.95,10.55,12.05,10.4,11.95,2060925,1744862220
2025-04-17 09:28:00,CE,ATM+3,23.644341,8746125,23450.0,23302.8,12.2,13.25,12.0,12.0,2203800,1744862280
2025-04-17 09:29:00,CE,ATM+3,23.346393,8746125,23450.0,23309.25,11.55,12.85,11.3,12.55,1789800,1744862340
2025-04-17 09:30:00,CE,ATM+3,23.376872,8885475,23450.0,23311.65,12.45,13.75,12.45,12.95,1659750,1744862400
2025-04-17 09:31:00,CE,ATM+3,25.654764,13897275,23500.0,23325.2,8.8,10.7,8.65,10.7,1999950,1744862460
2025-04-17 09:32:00,CE,ATM+3,24.199275,8885475,23450.0,23322.65,15.0,16.9,14.5,16.2,2279775,1744862520
2025-04-17 09:33:00,CE,ATM+3,24.024103,8640000,23450.0,23321.9,16.05,16.35,13.9,15.7,1871175,1744862580
2025-04-17 09:34:00,CE,ATM+3,23.903566,8640000,23450.0,23319.85,15.2,15.2,13.75,15.05,1554825,1744862640
2025-04-17 09:35:00,CE,ATM+3,23.670315,8640000,23450.0,23324.75,14.75,16.25,14.55,15.55,954150,1744862700
2025-04-17 09:36:00,CE,ATM+3,25.15459,14098200,23500.0,23333.25,10.3,12.05,10.3,10.9,2746875,1744862760
2025-04-17 09:37:00,CE,ATM+3,24.93448,14098200,23500.0,23341.85,10.6,11.95,9.85,11.8,2442300,1744862820
2025-04-17 09:38:00,CE,ATM+3,25.174926,14098200,23500.0,23336.2,11.65,13.1,11.25,11.25,2579925,1744862880
2025-04-17 09:39:00,CE,ATM+3,24.81166,14081550,23500.0,23344.65,11.1,12.5,11.1,11.95,1492725,1744862940
2025-04-17 09:40:00,CE,ATM+3,25.378358,14081550,23500.0,23361.9,12.05,15.7,11.8,15.7,4200300,1744863000
2025-04-17 09:41:00,CE,ATM+3,25.127716,14081550,23500.0,23363.85,16.1,17.75,14.55,15.6,4918425,1744863060
2025-04-17 09:42:00,CE,ATM+3,26.575813,5201550,23550.0,23387.2,10.0,13.6,8.95,13.25,2873400,1744863120
2025-04-17 09:43:00,CE,ATM+3,27.406699,5201550,23550.0,23402.6,13.0,17.2,12.45,17.15,3678750,1744863180
2025-04-17 09:44:00,CE,ATM+3,26.1715,5201550,23550.0,23397.65,16.25,16.8,13.25,14.25,2506125,1744863240
2025-04-17 09:45:00,CE,ATM+3,26.940199,5014950,23550.0,23416.25,13.9,20.35,13.9,18.95,3799200,1744863300
2025-04-17 09:46:00,CE,ATM+3,26.379193,5014950,23550.0,23417.35,18.65,19.8,17.1,18.15,2378700,1744863360
2025-04-17 09:47:00,CE,ATM+3,26.730893,9597900,23600.0,23425.35,10.95,12.5,10.25,11.5,2856075,1744863420
2025-04-17 09:48:00,CE,ATM+3,25.606236,5426325,23550.0,23419.25,19.25,21.15,17.1,17.1,2314125,1744863480
2025-04-17 09:49:00,CE,ATM+3,26.21558,5426325,23550.0,23422.3,17.55,18.8,16.2,18.7,1647150,1744863540
2025-04-17 09:50:00,CE,ATM+3,26.195736,9748350,23600.0,23434.25,11.05,12.2,10.7,11.9,2068650,1744863600
2025-04-17 09:51:00,CE,ATM+3,23.474164,5762475,23550.0,23422.95,19.15,19.15,14.0,14.15,2291250,1744863660
2025-04-17 09:52:00,CE,ATM+3,23.524669,5762475,23550.0,23424.95,13.85,14.55,12.35,14.55,1972275,1744863720
