datetime,option_type,strike_relative,iv,oi,strike,spot,open,high,low,close,volume,timestamp
2025-08-22 09:15:00,CE,ATM-6,0.0,90675,24750.0,25052.2,350.0,354.5,331.8,339.05,8250,1755834300
2025-08-22 09:16:00,CE,ATM-6,0.0,90675,24750.0,25044.8,335.75,339.5,333.1,333.1,3600,1755834360
2025-08-22 09:17:00,CE,ATM-6,0.0,90675,24750.0,25037.55,329.85,330.15,323.25,326.9,9075,1755834420
2025-08-22 09:18:00,CE,ATM-6,0.0,96600,24750.0,25030.65,328.55,328.55,321.45,321.5,975,1755834480
2025-08-22 09:19:00,CE,ATM-6,0.0,739500,24700.0,25022.5,365.7,365.7,359.8,359.8,18300,1755834540
2025-08-22 09:20:00,CE,ATM-6,0.0,739500,24700.0,25009.6,360.0,360.0,347.25,352.55,17550,1755834600
2025-08-22 09:21:00,CE,ATM-6,0.0,758175,24700.0,25004.6,353.55,353.55,345.75,348.2,15450,1755834660
2025-08-22 09:22:00,CE,ATM-6,0.0,758175,24700.0,25014.95,349.0,356.7,348.0,356.0,33375,1755834720
2025-08-22 09:23:00,CE,ATM-6,0.0,758175,24700.0,25010.25,358.35,359.7,349.0,349.0,20175,1755834780
2025-08-22 09:24:00,CE,ATM-6,4.85,770175,24700.0,24996.9,349.65,349.65,342.65,342.65,16575,1755834840
2025-08-22 09:25:00,CE,ATM-6,4.9,770175,24700.0,24995.55,343.65,347.2,340.0,341.4,17475,1755834900
2025-08-22 09:26:00,CE,ATM-6,5.66,770175,24700.0,24992.0,343.8,343.8,337.0,339.6,19425,1755834960
2025-08-22 09:27:00,CE,ATM-6,5.77,786150,24700.0,25000.8,340.5,348.0,339.7,348.0,8325,1755835020
2025-08-22 09:28:00,CE,ATM-6,4.18,786150,24700.0,24995.45,347.5,348.95,338.75,340.0,34425,1755835080
2025-08-22 09:29:00,CE,ATM-6,4.38,786150,24700.0,24986.8,340.25,343.75,331.45,332.0,12750,1755835140
2025-08-22 09:30:00,CE,ATM-6,6.81,812325,24700.0,24980.75,331.3,333.6,328.65,330.15,48825,1755835200
2025-08-22 09:31:00,CE,ATM-6,6.27,151200,24650.0,24960.65,370.0,370.0,354.0,354.55,3900,1755835260
2025-08-22 09:32:00,CE,ATM-6,4.34,151200,24650.0,24956.85,350.0,354.35,350.0,353.15,3075,1755835320
2025-08-22 09:33:00,CE,ATM-6,6.19,155850,24650.0,24954.3,355.15,355.7,351.75,352.0,3300,1755835380
2025-08-22 09:34:00,CE,ATM-6,5.77,155850,24650.0,24964.5,353.1,362.85,350.35,362.1,3750,1755835440
2025-08-22 09:35:00,CE,ATM-6,5.69,155850,24650.0,24967.65,361.2,366.5,359.4,363.9,4950,1755835500
2025-08-22 09:36:00,CE,ATM-6,6.54,154200,24650.0,24967.0,363.5,366.0,357.0,366.0,5325,1755835560
2025-08-22 09:37:00,CE,ATM-6,0.0,154200,24650.0,24963.05,364.6,365.0,356.3,357.0,2025,1755835620
2025-08-22 09:38:00,CE,ATM-6,0.0,154200,24650.0,24960.1,357.0,357.0,354.4,354.4,225,1755835680
2025-08-22 09:39:00,CE,ATM-6,0.72,154800,24650.0,24964.05,358.15,359.35,355.0,357.4,1125,1755835740
2025-08-22 09:40:00,CE,ATM-6,4.34,154800,24650.0,24967.4,354.0,362.8,354.0,362.3,600,1755835800
2025-08-22 09:41:00,CE,ATM-6,0.0,154800,24650.0,24973.1,362.75,370.0,361.5,366.75,3450,1755835860
2025-08-22 09:42:00,CE,ATM-6,0.0,155475,24650.0,24972.65,369.6,369.6,362.05,363.45,1800,1755835920
2025-08-22 09:43:00,CE,ATM-6,0.0,155475,24650.0,24970.95,362.5,363.0,360.55,363.0,1200,1755835980
2025-08-22 09:44:00,CE,ATM-6,5.07,873900,24700.0,24981.25,321.0,327.0,321.0,326.65,14100,1755836040
2025-08-22 09:45:00,CE,ATM-6,4.72,870075,24700.0,24978.7,325.0,326.95,320.0,324.0,13125,1755836100
2025-08-22 09:46:00,CE,ATM-6,0.0,870075,24700.0,24980.5,322.0,327.0,321.6,323.0,18525,1755836160
2025-08-22 09:47:00,CE,ATM-6,0.0,870075,24700.0,24983.2,322.65,328.95,322.0,325.65,16575,1755836220
2025-08-22 09:48:00,CE,ATM-6,0.0,154275,24650.0,24973.5,361.5,361.9,360.0,360.0,300,1755836280
2025-08-22 09:49:00,CE,ATM-6,0.0,154275,24650.0,24971.05,360.3,360.3,358.3,358.8,1275,1755836340
2025-08-22 09:50:00,CE,ATM-6,0.0,154275,24650.0,24967.6,359.65,359.65,354.05,355.9,900,1755836400
2025-08-22 09:51:00,CE,ATM-6,0.0,153450,24650.0,24963.9,354.9,354.9,347.9,352.1,2550,1755836460
2025-08-22 09:52:00,CE,ATM-6,0.0,869850,24700.0,24975.05,309.55,321.3,309.55,319.0,19275,1755836520
2025-08-22 09:53:00,CE,ATM-6,0.0,869850,24700.0,24980.7,320.05,325.65,320.05,322.15,18225,1755836580
2025-08-22 09:54:00,CE,ATM-6,0.0,154275,24650.0,24972.6,365.0,366.75,359.2,359.3,825,1755836640
2025-08-22 09:55:00,CE,ATM-6,0.0,154275,24650.0,24959.05,357.0,357.0,344.7,344.7,3975,1755836700
2025-08-22 09:56:00,CE,ATM-6,0.0,154275,24650.0,24961.1,345.15,350.3,344.35,349.25,3450,1755836760
2025-08-22 09:57:00,CE,ATM-6,0.0,154800,24650.0,24954.7,349.0,349.0,341.9,346.3,3000,1755836820
2025-08-22 09:58:00,CE,ATM-6,0.0,154800,24650.0,24964.3,348.2,359.35,348.2,359.35,3975,1755836880
2025-08-22 09:59:00,CE,ATM-6,0.0,154800,24650.0,24961.0,358.0,358.0,350.0,350.0,2700,1755836940
2025-08-22 10:00:00,CE,ATM-6,0.0,154350,24650.0,24959.15,350.0,350.7,348.8,350.7,1275,1755837000
2025-08-22 10:01:00,CE,ATM-6,4.51,154350,24650.0,24952.2,350.0,353.35,345.8,347.2,3975,1755837060
2025-08-22 10:02:00,CE,ATM-6,0.0,154350,24650.0,24948.15,349.15,350.15,340.75,340.75,975,1755837120
2025-08-22 10:03:00,CE,ATM-6,0.0,154425,24650.0,24951.1,344.7,345.9,339.0,345.2,3975,1755837180
2025-08-22 10:04:00,CE,ATM-6,5.05,154425,24650.0,24959.35,348.6,356.0,348.6,354.3,1050,1755837240
2025-08-22 10:05:00,CE,ATM-6,0.0,154425,24650.0,24963.95,353.1,358.7,353.1,358.7,675,1755837300
2025-08-22 10:06:00,CE,ATM-6,0.0,153975,24650.0,24962.95,360.0,360.0,353.85,356.0,2925,1755837360
2025-08-22 10:07:00,CE,ATM-6,0.0,153975,24650.0,24966.4,358.95,358.95,358.95,358.95,225,1755837420
2025-08-22 10:08:00,CE,ATM-6,0.0,153975,24650.0,24967.65,357.3,359.05,356.35,359.05,450,1755837480
2025-08-22 10:09:00,CE,ATM-6,0.0,153150,24650.0,24967.5,361.0,362.35,359.0,359.7,2100,1755837540
2025-08-22 10:10:00,CE,ATM-6,4.93,153150,24650.0,24961.8,358.0,358.0,356.55,356.55,150,1755837600
2025-08-22 10:11:00,CE,ATM-6,6.81,153150,24650.0,24962.15,362.2,362.2,362.2,362.2,75,1755837660
2025-08-22 10:12:00,CE,ATM-6,0.0,153150,24650.0,24966.65,355.65,355.65,355.65,355.65,225,1755837720
2025-08-22 10:13:00,CE,ATM-6,0.0,153150,24650.0,24969.8,362.8,362.8,361.5,361.5,1875,1755837780
2025-08-22 10:14:00,CE,ATM-6,0.0,153150,24650.0,24961.4,361.0,361.0,351.75,351.75,3750,1755837840
2025-08-22 10:15:00,CE,ATM-6,0.0,154125,24650.0,24954.9,349.55,349.55,347.25,348.5,3225,1755837900
2025-08-22 10:16:00,CE,ATM-6,0.0,154125,24650.0,24950.9,347.95,347.95,339.15,344.1,7575,1755837960
2025-08-22 10:17:00,CE,ATM-6,4.27,154125,24650.0,24937.75,344.5,344.5,329.45,332.25,6300,1755838020
2025-08-22 10:18:00,CE,ATM-6,5.27,153750,24650.0,24932.75,332.75,333.4,327.55,329.4,4500,1755838080
2025-08-22 10:19:00,CE,ATM-6,6.06,153750,24650.0,24931.9,329.4,332.35,324.15,331.2,5175,1755838140
2025-08-22 10:20:00,CE,ATM-6,6.08,153750,24650.0,24933.45,330.7,332.35,329.95,332.35,3375,1755838200
2025-08-22 10:21:00,CE,ATM-6,5.96,157425,24650.0,24932.0,330.0,330.45,326.85,330.25,3900,1755838260
2025-08-22 10:22:00,CE,ATM-6,5.57,157425,24650.0,24928.7,328.7,328.9,322.75,325.0,6600,1755838320
2025-08-22 10:23:00,CE,ATM-6,4.99,157425,24650.0,24928.55,325.1,326.35,319.65,325.5,9000,1755838380
2025-08-22 10:24:00,CE,ATM-6,7.24,853725,24600.0,24920.5,367.2,369.85,362.5,369.85,4050,1755838440
2025-08-22 10:25:00,CE,ATM-6,8.75,853725,24600.0,24912.0,365.7,370.5,364.5,370.5,7875,1755838500
2025-08-22 10:26:00,CE,ATM-6,7.1,164850,24650.0,24926.8,321.9,332.55,320.7,330.05,8100,1755838560
2025-08-22 10:27:00,CE,ATM-6,7.06,164625,24650.0,24931.45,332.4,335.7,331.1,335.0,6825,1755838620
2025-08-22 10:28:00,CE,ATM-6,6.45,164625,24650.0,24935.7,335.0,336.95,333.8,335.6,3825,1755838680
2025-08-22 10:29:00,CE,ATM-6,6.51,164625,24650.0,24932.2,334.9,335.65,332.8,332.8,825,1755838740
2025-08-22 10:30:00,CE,ATM-6,6.66,160575,24650.0,24931.1,332.8,333.1,330.4,330.4,900,1755838800
2025-08-22 10:31:00,CE,ATM-6,6.63,160575,24650.0,24927.7,328.75,329.45,327.65,328.3,1575,1755838860
2025-08-22 10:32:00,CE,ATM-6,6.41,860325,24600.0,24923.05,373.0,376.0,371.0,371.0,5025,1755838920
2025-08-22 10:33:00,CE,ATM-6,7.18,160425,24650.0,24927.0,326.65,331.15,326.15,331.15,300,1755838980
2025-08-22 10:34:00,CE,ATM-6,6.29,864150,24600.0,24923.95,375.85,375.85,368.95,370.95,2325,1755839040
2025-08-22 10:35:00,CE,ATM-6,5.99,160425,24650.0,24927.0,327.7,330.2,325.6,327.1,1125,1755839100
2025-08-22 10:36:00,CE,ATM-6,6.43,160725,24650.0,24932.4,327.1,332.7,327.1,332.7,675,1755839160
2025-08-22 10:37:00,CE,ATM-6,6.54,160725,24650.0,24929.85,332.35,332.35,330.3,330.3,600,1755839220
2025-08-22 10:38:00,CE,ATM-6,6.41,160725,24650.0,24925.45,328.0,328.0,325.5,326.0,4650,1755839280
2025-08-22 10:39:00,CE,ATM-6,5.85,866700,24600.0,24923.7,369.85,370.0,367.0,368.85,2325,1755839340
2025-08-22 10:40:00,CE,ATM-6,5.68,866700,24600.0,24914.75,366.0,366.0,360.0,360.8,10650,1755839400
2025-08-22 10:41:00,CE,ATM-6,4.9,866700,24600.0,24909.9,359.55,360.15,354.45,356.45,8325,1755839460
2025-08-22 10:42:00,CE,ATM-6,5.08,871500,24600.0,24914.1,357.4,360.15,355.35,358.5,6900,1755839520
2025-08-22 10:43:00,CE,ATM-6,5.77,871500,24600.0,24915.95,363.35,363.35,360.0,362.5,1275,1755839580
2025-08-22 10:44:00,CE,ATM-6,5.72,871500,24600.0,24914.45,362.7,363.1,361.2,361.65,2400,1755839640
2025-08-22 10:45:00,CE,ATM-6,6.44,874950,24600.0,24914.6,360.0,363.05,358.8,363.05,3150,1755839700
2025-08-22 10:46:00,CE,ATM-6,6.52,874950,24600.0,24917.75,364.55,367.65,364.0,364.0,3225,1755839760
2025-08-22 10:47:00,CE,ATM-6,6.72,874950,24600.0,24907.55,363.9,364.05,356.95,356.95,6450,1755839820
2025-08-22 10:48:00,CE,ATM-6,5.98,881025,24600.0,24906.45,359.4,359.4,352.3,353.7,6975,1755839880
2025-08-22 10:49:00,CE,ATM-6,6.75,881025,24600.0,24912.6,354.65,361.8,354.65,361.8,1575,1755839940
2025-08-22 10:50:00,CE,ATM-6,6.08,881025,24600.0,24911.05,362.0,362.0,357.4,357.5,4725,1755840000
2025-08-22 10:51:00,CE,ATM-6,6.97,883200,24600.0,24913.0,356.85,364.0,356.4,362.85,2850,1755840060
2025-08-22 10:52:00,CE,ATM-6,6.59,883200,24600.0,24913.2,361.0,362.35,359.2,361.0,2325,1755840120
2025-08-22 10:53:00,CE,ATM-6,6.49,883200,24600.0,24911.1,361.35,363.5,359.45,359.7,3000,1755840180
2025-08-22 10:54:00,CE,ATM-6,6.78,882225,24600.0,24909.0,360.25,360.25,356.25,358.0,2100,1755840240
2025-08-22 10:55:00,CE,ATM-6,6.99,882225,24600.0,24908.3,357.3,360.1,356.0,360.1,2925,1755840300
2025-08-22 10:56:00,CE,ATM-6,6.9,882225,24600.0,24909.65,360.2,364.7,359.2,359.65,6900,1755840360
2025-08-22 10:57:00,CE,ATM-6,7.07,886800,24600.0,24906.7,358.0,358.0,356.25,357.2,1125,1755840420
2025-08-22 10:58:00,CE,ATM-6,6.9,886800,24600.0,24909.05,356.65,360.0,356.25,358.9,975,1755840480
2025-08-22 10:59:00,CE,ATM-6,6.75,886800,24600.0,24910.45,359.5,360.5,357.65,360.5,5550,1755840540
2025-08-22 11:00:00,CE,ATM-6,5.94,889200,24600.0,24904.35,363.0,363.0,348.75,351.0,10800,1755840600
2025-08-22 11:01:00,CE,ATM-6,6.88,889200,24600.0,24904.5,353.05,355.0,347.7,355.0,12600,1755840660
