date,day_name,expiry,expiry_day_name,dte,is_expiry_day,entry_time,spot,atm,ce_entry,pe_entry,diff_pct,comb_premium,exit_time,exit_reason,pnl_pts,gross_inr,costs_inr,net_inr,leg_sl_hits,ce_shifts,pe_shifts,orders,cum_gross_inr,cum_net_inr,peak_net,drawdown_net
2025-09-22,Monday,2025-09-23,Tuesday,1,False,09:30,25286.15,25300.0,60.1,55.45,7.7,115.55,14:28,Combined SL Hit (-20%),-24.9,-1618.5,165.82,-1784.32,2,1,0,6,-1618.5,-1784.32,-1784.32,0.0
2025-09-23,Tuesday,2025-09-23,Tuesday,0,True,09:42,25145.6,25150.0,42.45,45.85,7.37,88.3,09:57,Combined SL Hit (-20%),-22.15,-1439.75,160.1,-1599.85,2,0,1,6,-3058.25,-3384.17,-1784.32,-1599.8500000000001
2025-09-25,Thursday,2025-09-30,Tuesday,5,False,10:35,25027.95,25050.0,99.7,92.4,7.3,192.1,15:15,EOD Exit (15:15),1.49,96.85,181.13,-84.28,2,0,1,6,-2961.4,-3468.4500000000003,-1784.32,-1684.1300000000003
2025-09-26,Friday,2025-09-30,Tuesday,4,False,13:57,24678.15,24700.0,95.0,86.95,8.45,181.95,15:15,EOD Exit (15:15),0.36,23.4,179.48,-156.08,1,0,1,6,-2938.0,-3624.53,-1784.32,-1840.2100000000003
2025-09-29,Monday,2025-09-30,Tuesday,1,False,13:04,24681.35,24700.0,65.15,62.6,3.9,127.75,13:43,Combined SL Hit (-20%),-25.85,-1680.25,222.58,-1902.83,3,1,1,8,-4618.25,-5527.360000000001,-1784.32,-3743.040000000001
2025-09-30,Tuesday,2025-09-30,Tuesday,0,True,09:33,24682.95,24700.0,50.95,50.7,0.49,101.65,13:32,Target Hit (+20%),20.72,1346.8,160.92,1185.88,2,0,1,6,-3271.45,-4341.4800000000005,-1784.32,-2557.1600000000008
2025-10-01,Wednesday,2025-10-07,Tuesday,6,False,09:42,24675.15,24700.0,120.95,114.2,5.57,235.15,15:15,EOD Exit (15:15),1.99,129.35,253.76,-124.41,3,1,1,8,-3142.1,-4465.89,-1784.32,-2681.5700000000006
2025-10-03,Friday,2025-10-07,Tuesday,4,False,09:38,24781.4,24800.0,85.95,81.15,5.57,167.1,15:15,EOD Exit (15:15),11.02,716.3,176.37,539.93,2,1,0,6,-2425.8,-3925.9600000000005,-1784.32,-2141.6400000000003
2025-10-06,Monday,2025-10-07,Tuesday,1,False,09:32,24902.75,24900.0,63.55,58.0,8.69,121.55,15:05,Target Hit (+20%),24.54,1595.1,165.15,1429.95,2,1,0,6,-830.7000000000003,-2496.01,-1784.32,-711.6900000000003
2025-10-07,Tuesday,2025-10-07,Tuesday,0,True,09:40,25141.05,25150.0,37.45,40.4,7.25,77.85,11:21,Combined SL Hit (-20%),-18.72,-1216.8,157.45,-1374.25,2,1,0,6,-2047.5000000000002,-3870.26,-1784.32,-2085.9400000000005
2025-10-08,Wednesday,2025-10-14,Tuesday,6,False,10:21,25128.35,25150.0,110.55,101.15,8.48,211.7,15:15,EOD Exit (15:15),8.03,521.95,185.64,336.31,2,0,1,6,-1525.5500000000002,-3533.9500000000003,-1784.32,-1749.6300000000003
2025-10-09,Thursday,2025-10-14,Tuesday,5,False,09:35,25078.1,25100.0,99.4,96.3,3.11,195.7,15:15,EOD Exit (15:15),-6.51,-423.15,242.31,-665.46,3,1,1,8,-1948.7000000000003,-4199.41,-1784.32,-2415.09
2025-10-13,Monday,2025-10-14,Tuesday,1,False,09:30,25178.95,25200.0,76.65,82.5,7.07,159.15,13:54,Target Hit (+20%),32.52,2113.8,172.84,1940.96,1,1,0,6,165.0999999999999,-2258.45,-1784.32,-474.1299999999999
2025-10-14,Tuesday,2025-10-14,Tuesday,0,True,09:30,25288.3,25300.0,47.8,44.75,6.34,92.55,11:06,Target Hit (+20%),19.61,1274.65,159.08,1115.57,2,0,1,6,1439.75,-1142.8799999999999,-1142.8799999999999,0.0
2025-10-16,Thursday,2025-10-20,Monday,4,False,14:26,25578.1,25600.0,97.25,88.1,9.38,185.35,15:15,EOD Exit (15:15),2.95,191.75,181.1,10.65,1,1,0,6,1631.5,-1132.2299999999998,-1132.2299999999998,0.0
2025-10-17,Friday,2025-10-20,Monday,3,False,09:49,25576.3,25600.0,87.85,91.95,4.44,179.8,15:15,EOD Exit (15:15),22.79,1481.35,177.61,1303.74,2,1,0,6,3112.85,171.51000000000022,171.51000000000022,0.0
2025-10-20,Monday,2025-10-20,Monday,0,True,09:38,25852.75,25850.0,65.2,58.85,9.69,124.05,11:35,Target Hit (+20%),25.21,1638.65,221.87,1416.78,2,1,1,8,4751.5,1588.2900000000002,1588.2900000000002,0.0
2025-10-24,Friday,2025-10-28,Tuesday,4,False,11:08,25829.0,25850.0,106.9,99.8,6.62,206.7,15:15,EOD Exit (15:15),-26.31,-1710.15,247.91,-1958.06,3,1,1,8,3041.35,-369.76999999999975,1588.2900000000002,-1958.06
2025-10-28,Tuesday,2025-10-28,Tuesday,0,True,09:34,26028.8,26050.0,66.5,62.95,5.31,129.45,10:32,Target Hit (+20%),26.09,1695.85,166.34,1529.51,2,0,1,6,4737.2,1159.7400000000002,1588.2900000000002,-428.54999999999995
2025-10-30,Thursday,2025-11-04,Tuesday,5,False,09:40,25935.6,25950.0,143.7,129.75,9.69,273.45,15:15,EOD Exit (15:15),28.35,1842.75,198.68,1644.07,1,0,1,6,6579.95,2803.8100000000004,2803.8100000000004,0.0
2025-10-31,Friday,2025-11-04,Tuesday,4,False,10:49,25825.6,25850.0,112.8,103.0,8.66,215.8,15:15,EOD Exit (15:15),13.6,884.0,186.35,697.65,1,0,1,6,7463.95,3501.4600000000005,3501.4600000000005,0.0
2025-11-03,Monday,2025-11-04,Tuesday,1,False,10:23,25726.1,25750.0,89.65,82.75,7.67,172.4,15:15,EOD Exit (15:15),26.82,1743.3,177.25,1566.05,1,1,0,6,9207.25,5067.51,5067.51,0.0
2025-11-04,Tuesday,2025-11-04,Tuesday,0,True,09:30,25708.1,25700.0,57.95,55.0,5.06,112.95,10:43,Target Hit (+20%),22.85,1485.25,109.74,1375.51,0,0,0,4,10692.5,6443.02,6443.02,0.0
2025-11-06,Thursday,2025-11-11,Tuesday,5,False,10:35,25529.35,25550.0,127.7,116.35,8.87,244.05,15:15,EOD Exit (15:15),26.11,1697.15,193.65,1503.5,1,1,0,6,12389.65,7946.52,7946.52,0.0
2025-11-07,Friday,2025-11-11,Tuesday,4,False,09:37,25328.15,25350.0,106.25,96.2,9.43,202.45,15:15,EOD Exit (15:15),24.82,1613.3,184.41,1428.89,2,1,0,6,14002.949999999999,9375.41,9375.41,0.0
2025-11-10,Monday,2025-11-11,Tuesday,1,False,09:38,25575.35,25600.0,72.1,75.65,4.67,147.75,15:15,EOD Exit (15:15),-7.89,-512.85,228.68,-741.53,3,1,1,8,13490.099999999999,8633.88,9375.41,-741.5300000000007
2025-11-11,Tuesday,2025-11-11,Tuesday,0,True,09:36,25494.15,25500.0,52.0,55.45,6.19,107.45,10:33,Combined SL Hit (-20%),-22.75,-1478.75,163.47,-1642.22,2,1,0,6,12011.349999999999,6991.659999999999,9375.41,-2383.750000000001
2025-11-12,Wednesday,2025-11-18,Tuesday,6,False,13:27,25925.2,25950.0,139.55,126.7,9.19,266.25,15:15,EOD Exit (15:15),2.35,152.75,132.62,20.13,0,0,0,4,12164.099999999999,7011.789999999999,9375.41,-2363.620000000001
2025-11-13,Thursday,2025-11-18,Tuesday,5,False,09:47,25875.65,25900.0,131.3,119.75,8.78,251.05,14:08,Combined SL Hit (-20%),-53.35,-3467.75,198.04,-3665.79,2,1,0,6,8696.349999999999,3345.999999999999,9375.41,-6029.410000000001
2025-11-14,Friday,2025-11-18,Tuesday,4,False,10:12,25776.85,25800.0,132.5,128.2,3.24,260.7,14:24,Target Hit (+20%),52.45,3409.25,198.01,3211.24,1,1,0,6,12105.599999999999,6557.239999999999,9375.41,-2818.170000000001
2025-11-17,Monday,2025-11-18,Tuesday,1,False,09:30,25977.35,26000.0,84.55,80.5,4.77,165.05,14:04,Combined SL Hit (-20%),-34.36,-2233.4,176.25,-2409.65,2,0,1,6,9872.199999999999,4147.589999999998,9375.41,-5227.8200000000015
2025-11-18,Tuesday,2025-11-18,Tuesday,0,True,09:30,25951.75,25950.0,51.85,55.85,7.12,107.7,11:46,Combined SL Hit (-20%),-27.65,-1797.25,217.02,-2014.27,3,1,1,8,8074.949999999999,2133.3199999999983,9375.41,-7242.090000000002
2025-11-19,Wednesday,2025-11-25,Tuesday,6,False,09:50,25887.2,25900.0,150.05,139.2,7.22,289.25,15:15,EOD Exit (15:15),-2.71,-176.15,205.64,-381.79,2,1,0,6,7898.799999999999,1751.5299999999984,9375.41,-7623.880000000001
2025-11-20,Thursday,2025-11-25,Tuesday,5,False,09:33,26098.15,26100.0,137.5,124.05,9.76,261.55,15:15,EOD Exit (15:15),-25.84,-1679.6,263.04,-1942.64,3,1,1,8,6219.199999999999,-191.11000000000172,9375.41,-9566.520000000002
2025-11-21,Friday,2025-11-25,Tuesday,4,False,09:30,26150.35,26150.0,119.3,108.7,8.86,228.0,12:50,Combined SL Hit (-20%),-46.81,-3042.65,191.71,-3234.36,2,0,1,6,3176.549999999999,-3425.470000000002,9375.41,-12800.880000000001
2025-11-24,Monday,2025-11-25,Tuesday,1,False,09:35,26082.0,26100.0,84.45,79.9,5.37,164.35,15:15,EOD Exit (15:15),-1.6,-104.0,233.17,-337.17,3,1,1,8,3072.549999999999,-3762.640000000002,9375.41,-13138.050000000003
2025-11-25,Tuesday,2025-11-25,Tuesday,0,True,09:30,25955.85,25950.0,52.05,51.45,1.15,103.5,10:59,Combined SL Hit (-20%),-24.35,-1582.75,163.24,-1745.99,2,1,0,6,1489.7999999999988,-5508.630000000002,9375.41,-14884.04
2025-11-26,Wednesday,2025-12-02,Tuesday,6,False,11:39,26126.1,26150.0,141.95,129.3,8.89,271.25,15:15,EOD Exit (15:15),-5.19,-337.35,201.2,-538.55,1,1,0,6,1152.449999999999,-6047.180000000002,9375.41,-15422.590000000002
2025-11-27,Thursday,2025-12-02,Tuesday,5,False,09:31,26277.8,26300.0,127.2,114.9,9.65,242.1,15:15,EOD Exit (15:15),1.08,70.2,193.24,-123.04,2,0,1,6,1222.649999999999,-6170.220000000002,9375.41,-15545.630000000001
2025-11-28,Friday,2025-12-02,Tuesday,4,False,09:36,26232.05,26250.0,104.05,95.85,7.86,199.9,15:15,EOD Exit (15:15),18.34,1192.1,183.27,1008.83,1,1,0,6,2414.749999999999,-5161.390000000002,9375.41,-14536.800000000003
2025-12-01,Monday,2025-12-02,Tuesday,1,False,09:32,26285.25,26300.0,80.55,73.9,8.23,154.45,14:55,Target Hit (+20%),31.62,2055.3,172.5,1882.8,2,0,1,6,4470.049999999999,-3278.590000000002,9375.41,-12654.000000000002
